name,physical_address,postal_address,phone_number
Nightcliff Middle School,"90 Aralia St, NT, Rapid Creek, 0810","90 Aralia St, NT, NIGHTCLIFF, 0810",(08) 898 37677
Nightcliff Pre School,"17 Pandanus St, NT, Nightcliff",",",(08) 8948 8488
Nightcliff Primary School,"17 Pandanus St, NT, Nightcliff, 0810","PO BOX 798, NT, NIGHTCLIFF, 0810",(08) 8948 8488
NT Music School,"60 Matthews Rd, NT, Wulagi 0812","PO Box 455, NT, Sanderson, 0813",(08) 896 35550
NT School of Distance Education,"The Bullocky Point Education Precinct, Atkins Dr, NT, The Gardens, 0820","PO Box 40471, NT, Casuarina, 0811",(08) 892 22222
Ntaria School,"N/A, NT, Hermannsburg (Ntaria)","PMB 4, NT, via Alice Springs, 0872",(08) 8956 7424
Numbulwar Pre School,"N/A, NT, Numbulwar",",",(08) 8975 4650
Numbulwar School,"N/A, NT, Numbulwar","PMB 68, NT, WINELLIE, 0822",(08) 8975 4650
Nyangatjatjara College - Docker Rvr Campus,"N/A, NT, Kaltukatjara (Docker River)","PO Box 171, NT, Yulara, 0872",(08) 8956 7098
Nyangatjatjara College - Imanpa Campus,"not available, NT, not available","PO Box 171, NT, Yulara, 0872",(08) 8956 7038
Nyangatjatjara College - Mutitjulu Campus,"n/a, NT, Yulara","PO Box 171, NT, Yulara, 0872",(08) 8956 2555
Nyirripi School,"N/A, NT, Nyirripi","PMB 125, NT, via Alice Springs, 0872",(08) 8956 8880
O'Loughlin Catholic College,"70 Mueller Rd, NT, Karama","P O Box 41911, NT, Casuarina, 0811",(08) 8945 1277
OLSH College - Sadadeen Campus,"Sadadeen Rd, NT, Alice Springs","PO Box 2508, NT, Alice Springs, 0871",(08) 8950 6400
OLSH College - Traeger Campus,"8 Traeger Ave, NT, Alice Springs","PO Box 2508, NT, Alice Springs, 0871",(08) 8950 6400
OLSH Primary School,"5 Bath St, NT, Alice Springs","PO Box 2508, NT, Alice Springs, 0871",(08) 8950 6400
OLSH Thamarrurr Catholic College,"n/a, NT, Wadeye (Port Keats)","Wadeye, Port Keats, NT, via Winnellie, 0822",(08) 8978 2477
Owen Springs Education Centre,"Stuart Highway, NT, Alice Springs, 0870","PO Box 4856, NT, Alice Springs, 0871",(08) 8958 5088 / (08) 8958 5089
Palmerston Christian School,"50 Waler Road, Marlow Lagoon, NT, Marlow Lagoon","PO Box 113, NT, Palmerston, 0831",(08) 7922 5600
Palmerston College,"10 Tilston Ave, NT, Driver, 0830","PO Box 8, NT, PALMERSTON,",(08) 899 77999
Papunya School,"N/A, NT, Papunya, 0872","PMB 77, NT, via Alice Springs, 0872",(08) 8956 8515
Parap Pre School,"61 Ross Smith Ave, NT, Parap",",",(08) 8981 5146
Parap Primary School,"52 Urquhart Street, NT, Parap, 0820","PO Box 69, NT, PARAP, 0804",(08) 898 22922
Peppimenarti School,"N/A, NT, Peppimenarti","PMB 49, NT, via Winnellie, 0822",(08) 8978 2455
Pigeon Hole School,"N/A, NT, Pigeon Hole","PMB 10, NT, via Katherine, 0852",(08) 8975 0812
Pine Creek School,"N/A, NT, Pine Creek, 0847","PO Box 196, NT, Pine Creek, 0847",(08) 8976 1228
Pularumpi School,"Pularumpi, NT, Pirlangimpi","PMB 51, NT, via Winnellie, 0822",(08) 8978 3961
Ramingining Pre School,"N/A, NT, Ramingining",",",(08) 8979 7924
Ramingining School,"133Lewangu Drive, NT, Ramingining, 0822","PMB 125, NT, via WINNELLIE, 0822",(08) 8979 7924
Robinson River School,"N/A, NT, Robinson River","PMB 145, NT, Katherine, 0851",(08) 8975 9956
Rockhampton Downs School,"Community ID 259, NT, Wogyala","PMB 34, NT, Tennant Creek, 0862",(08) 8964 4675
Rona Glynn Pre School,"2 Mckay St, NT, Alice Springs",",",(08) 895 21792
Rosebery Primary School,"Belyuen Road Rosebery, NT, Rosebery, 0832","PO Box 650, NT, PALMERSTON, 0832",(08) 792 30100
Ross Park Primary School,"7 Winnecke Ave, NT, Alice Springs, 0870","PO Box 364, NT, ALICE SPRINGS, 0871",(08) 895 52000
Royal Darwin Hospital School,"Rocklands Drive, Tiwi, NT, Tiwi, 0810","C/o Nakara Primary School, Goodman St, NT, NAKARA, 0810",(08) 8922 8736
